Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
44072,"4,420",268,47,12,"6,063.30","1,063.30",271.5
44074,"11,376",476,61,22,"4,184.20",536.2,193.4
44076,"5,022",182,43,16,"3,624.10",856.2,318.6
44077,"56,353","4,212",626,177,"7,474.30","1,110.90",314.1
44080,92,N/A,N/A,N/A,N/A,N/A,N/A
44081,"7,104",470,52,8,"6,616.00",732,112.6
44082,"2,464",46,5,N/A,"1,866.90",202.9,N/A
44084,"3,749",197,25,11,"5,254.70",666.8,293.4
44085,"3,448",123,19,7,"3,567.30",551,203
44086,"2,558",108,24,N/A,"4,222.00",938.2,N/A
44087,"20,595","1,586",202,60,"7,700.90",980.80,291.3
44089,"15,527","1,126",151,29,"7,251.90",972.50,186.8
44090,"11,996",676,155,50,"5,635.20","1,292.10",416.8
44092,"16,677","1,491",184,46,"8,940.50","1,103.30",275.8
44093,"1,210",52,N/A,N/A,"4,297.50",N/A,N/A
44094,"35,755","3,074",447,133,"8,597.40","1,250.20",372
44095,"33,340","2,276",318,84,"6,826.60",953.80,251.9
44099,"2,334",85,16,7,"3,641.80",685.5,299.9
44101,610,17,N/A,N/A,"2,786.90",N/A,N/A
44102,"45,514","3,162",483,150,"6,947.30","1,061.20",329.6
44103,"16,519","1,118",122,49,"6,768.00",738.5,296.6
44104,"19,640","1,104",170,48,"5,621.20",865.6,244.4
44105,"37,211","2,150",286,78,"5,777.90",768.6,209.6
44106,"25,752","1,439",168,40,"5,587.90",652.4,155.3
44107,"50,666","3,789",431,120,"7,478.40",850.7,236.8
44108,"21,939","1,328",166,60,"6,053.10",756.6,273.5
44109,"40,246","2,889",439,129,"7,178.40","1,090.80",320.5
44110,"19,116","1,184",176,44,"6,193.80",920.7,230.2
44111,"42,821","3,097",443,112,"7,232.40","1,034.50",261.6
44112,"21,909","1,254",156,44,"5,723.70",712,200.8
44113,"20,358","1,723",212,73,"8,463.50","1,041.40",358.6
44114,"6,567",555,78,19,"8,451.30","1,187.80",289.3
44115,"8,284",716,83,28,"8,643.20","1,001.90",338
44116,"20,338","1,531",182,47,"7,527.80",894.9,231.1
44117,"9,611",805,128,32,"8,375.80","1,331.80",333
44118,"38,833","2,686",305,107,"6,916.80",785.4,275.5
44119,"13,108","1,022",104,26,"7,796.80",793.4,198.4
44120,"34,276","1,954",212,70,"5,700.80",618.5,204.2
44121,"33,211","2,343",218,62,"7,054.90",656.4,186.7
44122,"33,342","2,408",293,84,"7,222.10",878.8,251.9
44123,"16,515","1,312",128,34,"7,944.30",775.1,205.9
44124,"37,737","2,907",331,106,"7,703.30",877.1,280.9
44125,"27,939","2,262",262,66,"8,096.20",937.8,236.2
44126,"16,372","1,251",138,44,"7,641.10",842.9,268.8
44127,"4,375",217,36,12,"4,960.00",822.9,274.3
44128,"28,790","2,140",258,79,"7,433.10",896.1,274.4
44129,"28,276","2,184",230,56,"7,723.90",813.4,198
44130,"49,787","3,700",434,93,"7,431.70",871.7,186.8
44131,"20,532","1,480",148,39,"7,208.30",720.8,189.9
44132,"14,805","1,114",139,33,"7,524.50",938.9,222.9
44133,"30,225","2,330",322,76,"7,708.90","1,065.30",251.4
44134,"37,533","2,971",352,89,"7,915.70",937.80,237.1
44135,"27,640","1,960",282,97,"7,091.20","1,020.30",350.9
44136,"25,776","2,001",291,85,"7,763.00","1,129.00",329.8
44137,"22,657","1,842",158,39,"8,129.90",697.4,172.1
44138,"22,378","1,483",230,61,"6,627.00","1,027.80",272.6
44139,"24,212","1,421",148,45,"5,869.00",611.3,185.9
44140,"15,391","1,127",171,60,"7,322.50","1,111.00",389.8
44141,"13,830","1,053",166,59,"7,613.90","1,200.30",426.6
44142,"18,674","1,502",186,58,"8,043.30",996.00,310.6
44143,"24,241","2,060",223,69,"8,498.00",919.9,284.6
44144,"21,697","1,726",237,65,"7,955.00","1,092.30",299.6
44145,"32,378","2,618",273,67,"8,085.70",843.2,206.9
44146,"29,223","2,187",250,78,"7,483.80",855.5,266.9
44147,"19,361","1,444",185,45,"7,458.30",955.50,232.4
44149,"18,976","1,552",210,67,"8,178.80","1,106.70",353.1
44201,"6,944",391,70,19,"5,630.80","1,008.10",273.6
44202,"20,408","1,580",230,76,"7,742.10","1,127.00",372.4
44203,"40,442","2,706",423,115,"6,691.10","1,045.90",284.4
44212,"44,380","3,480",426,115,"7,841.40",959.90,259.1
44214,"2,267",125,19,7,"5,513.90",838.1,308.8
44215,"2,323",147,23,5,"6,328.00",990.10,215.2
44216,"9,540",668,87,26,"7,002.10",911.90,272.5
44217,"3,997",249,37,12,"6,229.70",925.70,300.2
44221,"29,154","2,093",309,96,"7,179.10","1,059.90",329.3
44223,"17,722","1,448",202,80,"8,170.60","1,139.80",451.4
44224,"39,564","2,665",396,119,"6,735.90","1,000.90",300.8
44230,"8,549",595,77,19,"6,959.90",900.7,222.2
44231,"8,777",432,63,14,"4,922.00",717.8,159.5
44233,"7,927",509,73,22,"6,421.10",920.90,277.5
44234,"4,177",211,26,6,"5,051.50",622.5,143.6
44235,"1,916",60,6,N/A,"3,131.50",313.2,N/A
44236,"25,518","1,773",269,106,"6,948.00","1,054.20",415.4
44240,"39,536","2,671",435,118,"6,755.90","1,100.30",298.5
44241,"16,638","1,179",191,57,"7,086.20","1,148.00",342.6
44243,"4,721",178,54,7,"3,770.40","1,143.80",148.3
44250,"1,110",82,9,N/A,"7,387.40",810.8,N/A
44251,922,59,7,N/A,"6,399.10",759.2,N/A
44253,"3,212",180,21,6,"5,604.00",653.8,186.8
44254,"4,960",266,43,10,"5,362.90",866.9,201.6
44255,"8,223",437,83,32,"5,314.40","1,009.40",389.2
44256,"62,916","4,523",556,159,"7,189.00",883.7,252.7
44260,"13,166",864,131,30,"6,562.40",995.00,227.9
44262,"5,049",316,46,21,"6,258.70",911.1,415.9
44264,"3,073",270,29,9,"8,786.20",943.70,292.9
44266,"33,894","1,982",313,104,"5,847.60",923.5,306.8
44270,"8,800",607,134,22,"6,897.70","1,522.70",250
44272,"5,176",405,61,11,"7,824.60","1,178.50",212.5
44273,"7,172",383,61,17,"5,340.20",850.5,237
44274,246,16,N/A,N/A,"6,504.10",N/A,N/A
44275,"3,280",194,28,5,"5,914.60",853.7,152.4
44276,"1,795",112,18,N/A,"6,239.60","1,002.80",N/A
44278,"17,951","1,325",173,64,"7,381.20",963.70,356.5
44280,"4,641",347,55,17,"7,476.80","1,185.10",366.3
44281,"32,161","2,409",409,107,"7,490.40","1,271.70",332.7
44285,25,N/A,N/A,N/A,N/A,N/A,N/A
44286,"6,193",473,54,13,"7,637.70",872,209.9
44287,"7,688",411,42,8,"5,346.00",546.3,104.1
44288,"3,521",205,46,20,"5,822.20","1,306.40",568
44301,"15,060",775,95,35,"5,146.10",630.8,232.4
44302,"5,127",254,29,6,"4,954.20",565.6,117
44303,"7,766",580,57,17,"7,468.50",734,218.9
44304,"5,028",301,42,11,"5,986.50",835.3,218.8
44305,"22,425","1,169",182,49,"5,212.90",811.6,218.5
44306,"21,165","1,113",149,41,"5,258.70",704,193.7
44307,"6,751",426,54,25,"6,310.20",799.9,370.3
44308,943,72,6,N/A,"7,635.20",636.3,N/A
44310,"26,659","2,132",197,57,"7,997.30",739,213.8
44311,"8,447",446,50,16,"5,280.00",591.9,189.4
44312,"31,064","2,153",310,74,"6,930.90",997.90,238.2
44313,"24,580","1,851",229,68,"7,530.50",931.7,276.6
44314,"19,113",943,146,43,"4,933.80",763.9,225
44319,"22,647","1,850",208,62,"8,168.90",918.4,273.8
44320,"19,419","1,235",160,37,"6,359.80",823.9,190.5
44321,"15,346","1,285",182,61,"8,373.50","1,186.00",397.5
44333,"18,778","1,572",165,42,"8,371.50",878.7,223.7
44401,"2,903",148,27,9,"5,098.20",930.1,310
44402,"3,228",172,18,N/A,"5,328.40",557.6,N/A
44403,"3,904",246,23,8,"6,301.20",589.1,204.9
44404,"1,446",72,8,N/A,"4,979.30",553.3,N/A
44405,"7,969",689,95,20,"8,646.00","1,192.10",251
44406,"21,749","1,971",225,66,"9,062.50","1,034.50",303.5
44408,"10,043",784,65,18,"7,806.40",647.2,179.2
44410,"16,702","1,318",101,33,"7,891.30",604.7,197.6
44411,"2,328",112,12,N/A,"4,811.00",515.5,N/A
44412,"2,630",148,23,N/A,"5,627.40",874.5,N/A
44413,"7,371",391,59,14,"5,304.60",800.4,189.9
44417,"1,736",92,8,5,"5,299.50",460.8,288
44418,"1,531",83,9,N/A,"5,421.30",587.9,N/A
44420,"14,796","1,004",112,30,"6,785.60",757,202.8
44423,"2,423",150,26,6,"6,190.70","1,073.00",247.6
44425,"14,354",928,99,22,"6,465.10",689.7,153.3
44427,"1,406",76,11,N/A,"5,405.40",782.40,N/A
44428,"3,045",184,16,5,"6,042.70",525.5,164.2
44429,"2,544",121,18,6,"4,756.30",707.5,235.8
44430,"4,777",317,21,7,"6,636.00",439.6,146.5
44431,"4,514",307,44,13,"6,801.10",974.70,288
44432,"13,279","1,568",85,34,"11,808.10",640.1,256
44436,"3,695",284,41,N/A,"7,686.10","1,109.60",N/A
44437,"4,406",295,38,12,"6,695.40",862.5,272.4
44438,"4,300",330,27,6,"7,674.40",627.9,139.5
44439,147,N/A,N/A,N/A,N/A,N/A,N/A
44440,"4,960",410,32,9,"8,266.10",645.2,181.5
44441,"1,757",106,18,N/A,"6,033.00","1,024.50",N/A
44442,"3,938",330,40,11,"8,379.90","1,015.70",279.3
44443,"1,672",105,7,N/A,"6,279.90",418.7,N/A
44444,"9,563",548,85,36,"5,730.40",888.8,376.5
44445,"3,604",205,15,8,"5,688.10",416.2,222
44446,"20,150","1,523",148,49,"7,558.30",734.5,243.2
44449,"1,264",80,15,6,"6,329.10","1,186.70",474.7
44450,"2,041",82,9,N/A,"4,017.60",441,N/A
44451,"2,817",246,32,11,"8,732.70","1,136.00",390.5
44452,"3,444",370,29,11,"10,743.30",842,319.4
44454,982,84,N/A,N/A,"8,554.00",N/A,N/A
44455,"1,665",89,19,8,"5,345.30","1,141.10",480.5
44460,"25,258","1,952",238,63,"7,728.20",942.30,249.4
44470,"3,953",201,32,N/A,"5,084.70",809.5,N/A
44471,"10,742",825,113,38,"7,680.10","1,051.90",353.8
44473,"3,609",234,25,12,"6,483.80",692.7,332.5
44481,"9,617",636,77,24,"6,613.30",800.7,249.6
44483,"24,836","1,856",140,43,"7,473.00",563.7,173.1
44484,"21,804","1,601",165,43,"7,342.70",756.7,197.2
44485,"16,101",845,93,27,"5,248.10",577.6,167.7
44490,970,48,6,N/A,"4,948.50",618.6,N/A
44491,"3,517",168,36,8,"4,776.80","1,023.60",227.5
44493,29,N/A,N/A,N/A,N/A,N/A,N/A
44502,"9,336",671,78,24,"7,187.20",835.5,257.1
44503,"1,130",77,5,N/A,"6,814.20",442.5,N/A
44504,"4,799",352,34,12,"7,334.90",708.5,250.1
44505,"17,985","1,457",126,36,"8,101.20",700.6,200.2
44506,"2,877",163,15,6,"5,665.60",521.4,208.6
44507,"5,409",271,32,9,"5,010.20",591.6,166.4
44509,"11,911",798,85,28,"6,699.70",713.6,235.1
44510,"2,601",143,9,N/A,"5,497.90",346,N/A
44511,"19,966","1,421",130,43,"7,117.10",651.1,215.4
44512,"32,763","2,878",363,127,"8,784.30","1,108.00",387.6
44514,"21,659","2,057",259,63,"9,497.20","1,195.80",290.9
44515,"26,662","2,342",252,71,"8,784.00",945.20,266.3
44601,"34,740","2,376",328,91,"6,839.40",944.20,261.9
44606,"8,718",339,28,17,"3,888.50",321.2,195
44607,178,N/A,N/A,N/A,N/A,N/A,N/A
44608,"2,439",153,27,N/A,"6,273.10","1,107.00",N/A
44609,"3,935",295,53,16,"7,496.80","1,346.90",406.6
44610,160,38,N/A,N/A,"23,750.00",N/A,N/A
44611,"2,121",113,9,N/A,"5,327.70",424.3,N/A
44612,"5,518",402,46,13,"7,285.20",833.6,235.6
44613,"2,012",156,18,6,"7,753.50",894.6,298.2
44614,"12,628","1,089",112,28,"8,623.70",886.90,221.7
44615,"10,312",697,74,26,"6,759.10",717.6,252.1
44618,"6,787",482,48,10,"7,101.80",707.2,147.3
44620,"2,057",96,27,6,"4,667.00","1,312.60",291.7
44621,"4,476",386,30,12,"8,623.80",670.2,268.1
44622,"17,895","1,975",195,44,"11,036.60","1,089.70",245.9
44624,"5,308",242,27,6,"4,559.20",508.7,113
44625,"1,918",83,7,N/A,"4,327.40",365,N/A
44626,"3,015",175,20,N/A,"5,804.30",663.3,N/A
44627,"6,829",196,9,N/A,"2,870.10",131.8,N/A
44628,932,60,N/A,N/A,"6,437.80",N/A,N/A
44629,"2,661",226,16,N/A,"8,493.00",601.3,N/A
44632,"9,831",814,114,26,"8,279.90","1,159.60",264.5
44633,"2,634",128,12,N/A,"4,859.50",455.6,N/A
44634,"2,246",137,33,7,"6,099.70","1,469.30",311.7
44637,"3,281",152,10,N/A,"4,632.70",304.8,N/A
44638,"1,453",80,11,N/A,"5,505.80",757.1,N/A
44640,235,7,N/A,N/A,"2,978.70",N/A,N/A
44641,"20,239","1,572",221,69,"7,767.20","1,092.00",340.9
44643,"3,585",229,28,7,"6,387.70",781,195.3
44644,"4,949",301,35,6,"6,082.00",707.2,121.2
44645,"2,299",162,24,7,"7,046.50","1,043.90",304.5
44646,"46,749","3,993",540,154,"8,541.40","1,155.10",329.4
44647,"19,172","1,292",189,58,"6,739.00",985.8,302.5
44651,656,43,13,7,"6,554.90","1,981.70","1,067.10"
44652,32,N/A,N/A,N/A,N/A,N/A,N/A
44653,673,31,N/A,N/A,"4,606.20",N/A,N/A
44654,"21,043","1,174",122,28,"5,579.10",579.8,133.1
44656,"2,836",170,25,6,"5,994.40",881.5,211.6
44657,"9,583",605,116,24,"6,313.30","1,210.50",250.4
44659,136,18,N/A,N/A,"13,235.30",N/A,N/A
44661,153,19,N/A,N/A,"12,418.30",N/A,N/A
44662,"10,020",782,83,36,"7,804.40",828.3,359.3
44663,"24,914","2,137",207,40,"8,577.50",830.9,160.6
44666,"2,667",206,32,7,"7,724.00","1,199.90",262.5
44667,"13,410",982,117,53,"7,322.90",872.5,395.2
44669,"1,347",83,12,6,"6,161.80",890.90,445.4
44670,172,9,N/A,N/A,"5,232.60",N/A,N/A
44671,290,36,6,5,"12,413.80","2,069.00","1,724.10"
44672,"4,748",411,35,12,"8,656.30",737.2,252.7
44675,"1,825",123,15,N/A,"6,739.70",821.9,N/A
44676,"4,402",235,32,12,"5,338.50",726.9,272.6
44677,"2,463",172,24,11,"6,983.40",974.4,446.6
44678,344,11,N/A,N/A,"3,197.70",N/A,N/A
44680,"4,455",337,32,6,"7,564.50",718.3,134.7
44681,"7,987",544,37,12,"6,811.10",463.3,150.2
44682,"1,030",90,5,N/A,"8,737.90",485.4,N/A
44683,"8,552",610,50,16,"7,132.80",584.7,187.1
44685,"27,842","2,277",336,119,"8,178.30","1,206.80",427.4
44687,275,109,N/A,N/A,"39,636.40",N/A,N/A
44688,"2,816",231,31,7,"8,203.10","1,100.90",248.6
44689,786,46,5,N/A,"5,852.40",636.1,N/A
44690,213,9,N/A,N/A,"4,225.40",N/A,N/A
44691,"45,048","3,224",388,99,"7,156.80",861.3,219.8
44693,41,N/A,N/A,N/A,N/A,N/A,N/A
44695,"1,578",124,13,6,"7,858.00",823.80,380.2
44697,204,10,N/A,N/A,"4,902.00",N/A,N/A
44699,811,63,9,N/A,"7,768.20","1,109.70",N/A
44702,948,192,10,N/A,"20,253.20","1,054.90",N/A
44703,"8,081",397,61,16,"4,912.80",754.9,198
44704,"3,490",186,30,6,"5,329.50",859.6,171.9
44705,"19,451","1,048",163,52,"5,387.90",838,267.3
44706,"17,413","1,212",189,55,"6,960.30","1,085.40",315.9
44707,"8,802",523,87,24,"5,941.80",988.40,272.7
44708,"25,541","1,948",302,85,"7,627.00","1,182.40",332.8
44709,"19,217","1,484",246,58,"7,722.30","1,280.10",301.8
44710,"9,557",561,65,21,"5,870.00",680.1,219.7
44714,"8,442",584,78,16,"6,917.80",924.00,189.5
44718,"11,895","1,084",154,30,"9,113.10","1,294.70",252.2
44720,"38,080","3,217",463,125,"8,448.00","1,215.90",328.3
44721,"14,149","1,083",185,47,"7,654.30","1,307.50",332.2
44730,"5,847",408,57,16,"6,977.90",974.90,273.6
44802,951,69,N/A,N/A,"7,255.50",N/A,N/A
44804,940,75,7,N/A,"7,978.70",744.7,N/A
44805,"32,833","2,472",250,57,"7,529.00",761.4,173.6
44807,"2,120",151,21,N/A,"7,122.60",990.60,N/A
44809,321,22,6,N/A,"6,853.60","1,869.20",N/A
44811,"12,667","1,026",84,21,"8,099.80",663.1,165.8
44813,"9,312",606,72,15,"6,507.70",773.2,161.1
44814,"2,876",221,43,9,"7,684.30","1,495.10",312.9
44815,630,38,N/A,N/A,"6,031.70",N/A,N/A
44816,16,N/A,N/A,N/A,N/A,N/A,N/A
44817,"1,506",104,15,6,"6,905.70",996,398.4
44818,"2,394",169,16,N/A,"7,059.30",668.3,N/A
44820,"17,522","1,421",142,50,"8,109.80",810.4,285.4
44822,"2,749",213,26,6,"7,748.30",945.8,218.3
44824,"3,944",359,40,5,"9,102.40","1,014.20",126.8
44825,102,5,N/A,N/A,"4,902.00",N/A,N/A
44826,"1,803",122,9,N/A,"6,766.50",499.2,N/A
44827,"6,980",522,59,13,"7,478.50",845.3,186.2
44828,73,N/A,N/A,N/A,N/A,N/A,N/A
44830,"18,690","1,368",137,33,"7,319.40",733,176.6
44833,"16,558","1,414",129,35,"8,539.70",779.1,211.4
44836,"2,330",191,20,10,"8,197.40",858.4,429.2
44837,"4,408",215,35,10,"4,877.50",794.00,226.9
44838,261,23,N/A,N/A,"8,812.30",N/A,N/A
44839,"12,264","1,205",99,23,"9,825.50",807.2,187.5
44840,"2,594",168,24,N/A,"6,476.50",925.20,N/A
44841,619,61,6,N/A,"9,854.60",969.3,N/A
44842,"5,392",411,43,13,"7,622.40",797.50,241.1
44843,"2,126",175,33,10,"8,231.40","1,552.20",470.4
44844,492,58,8,N/A,"11,788.60","1,626.00",N/A
44846,"3,486",354,25,N/A,"10,154.90",717.2,N/A
44847,"3,344",275,34,9,"8,223.70","1,016.70",269.1
44849,"2,522",198,20,8,"7,850.90",793,317.2
44850,43,N/A,N/A,N/A,N/A,N/A,N/A
44851,"4,679",289,72,24,"6,176.50","1,538.80",512.9
44853,"1,372",123,17,N/A,"8,965.00","1,239.10",N/A
44854,"1,708",152,26,N/A,"8,899.30","1,522.20",N/A
44855,"1,337",85,12,N/A,"6,357.50",897.5,N/A
44856,263,N/A,N/A,N/A,N/A,N/A,N/A
44857,"23,394","1,755",187,48,"7,501.90",799.4,205.2
44859,"2,158",116,24,12,"5,375.30","1,112.10",556.1
44861,65,N/A,N/A,N/A,N/A,N/A,N/A
44864,"3,718",184,17,5,"4,948.90",457.2,134.5
44865,"3,208",217,24,14,"6,764.30",748.1,436.4
44866,"1,994",78,8,N/A,"3,911.70",401.2,N/A
44867,"2,557",164,21,8,"6,413.80",821.3,312.9
44870,"39,597","3,535",369,89,"8,927.40",931.90,224.8
44874,331,10,N/A,N/A,"3,021.10",N/A,N/A
44875,"13,437","1,090",148,43,"8,111.90","1,101.40",320
44878,"3,118",164,17,5,"5,259.80",545.2,160.4
44880,"2,844",125,13,N/A,"4,395.20",457.1,N/A
44882,"2,849",226,21,8,"7,932.60",737.1,280.8
44883,"28,183","2,558",234,58,"9,076.40",830.3,205.8
44887,836,55,7,N/A,"6,578.90",837.3,N/A
44889,"7,071",369,49,16,"5,218.50",693,226.3
44890,"11,245",921,97,25,"8,190.30",862.6,222.3
44901,"2,627",133,16,7,"5,062.80",609.1,266.5
44902,"4,850",250,38,15,"5,154.60",783.5,309.3
44903,"23,604","2,283",268,69,"9,672.10","1,135.40",292.3
44904,"13,542","1,324",189,39,"9,777.00","1,395.70",288
44905,"13,719",975,104,30,"7,106.90",758.1,218.7
44906,"16,849","1,392",168,40,"8,261.60",997.10,237.4
44907,"14,885","1,165",137,30,"7,826.70",920.40,201.5
45001,759,70,6,N/A,"9,222.70",790.5,N/A
45002,"13,865","1,392",201,47,"10,039.70","1,449.70",339
45003,552,45,6,N/A,"8,152.20","1,087.00",N/A
45005,"31,371","3,242",362,98,"10,334.40","1,153.90",312.4
45011,"71,451","5,908",841,259,"8,268.60","1,177.00",362.5
45013,"53,933","4,581",567,182,"8,493.90","1,051.30",337.5
45014,"43,848","4,327",629,200,"9,868.20","1,434.50",456.1
45015,"11,714",891,102,36,"7,606.30",870.8,307.3
45030,"19,125","2,201",309,90,"11,508.50","1,615.70",470.6
45032,364,23,7,N/A,"6,318.70","1,923.10",N/A
45033,249,12,N/A,N/A,"4,819.30",N/A,N/A
45034,"1,273",111,20,7,"8,719.60","1,571.10",549.9
45036,"38,221","3,584",433,125,"9,377.00","1,132.90",327
45039,"25,142","2,345",330,81,"9,327.00","1,312.50",322.2
45040,"54,507","4,774",717,235,"8,758.50","1,315.40",431.1
45041,87,N/A,N/A,N/A,N/A,N/A,N/A
45042,"26,638","2,323",276,91,"8,720.60","1,036.10",341.6
45044,"54,680","4,696",700,204,"8,588.10","1,280.20",373.1
45050,"8,773","1,005",167,61,"11,455.60","1,903.60",695.3
45051,174,25,N/A,N/A,"14,367.80",N/A,N/A
45052,"3,667",376,31,7,"10,253.60",845.4,190.9
45054,"2,926",167,26,13,"5,707.50",888.60,444.3
45056,"27,957","2,922",238,61,"10,451.80",851.3,218.2
45062,686,49,N/A,N/A,"7,142.90",N/A,N/A
45064,"3,060",276,32,11,"9,019.60","1,045.80",359.5
45065,"4,765",537,95,34,"11,269.70","1,993.70",713.5
45066,"24,836","2,502",275,89,"10,074.10","1,107.30",358.4
45067,"14,970","1,343",195,34,"8,971.30","1,302.60",227.1
45068,"11,402","1,027",127,33,"9,007.20","1,113.80",289.4
45069,"51,117","4,281",735,257,"8,374.90","1,437.90",502.8
45070,185,13,N/A,N/A,"7,027.00",N/A,N/A
45101,"2,287",172,35,12,"7,520.80","1,530.40",524.7
45102,"22,397","1,983",311,98,"8,853.90","1,388.60",437.6
45103,"32,525","2,875",480,116,"8,839.40","1,475.80",356.6
45106,"12,382",960,171,50,"7,753.20","1,381.00",403.8
45107,"9,909",863,133,59,"8,709.30","1,342.20",595.4
45111,324,24,9,N/A,"7,407.40","2,777.80",N/A
45112,84,N/A,N/A,N/A,N/A,N/A,N/A
45113,"3,610",337,40,11,"9,335.20","1,108.00",304.7
45115,143,N/A,N/A,N/A,N/A,N/A,N/A
45118,"3,579",331,72,30,"9,248.40","2,011.70",838.20
45120,"2,750",275,71,18,"10,000.00","2,581.80",654.5
45121,"9,245",826,133,59,"8,934.60","1,438.60",638.2
45122,"10,511",882,139,36,"8,391.20","1,322.40",342.5
45123,"8,736",627,113,34,"7,177.20","1,293.50",389.2
45130,"4,028",253,41,17,"6,281.00","1,017.90",422
45131,227,14,N/A,N/A,"6,167.40",N/A,N/A
45132,398,10,N/A,N/A,"2,512.60",N/A,N/A
45133,"23,764","1,836",313,99,"7,726.00","1,317.10",416.6
45135,"4,705",315,60,25,"6,695.00","1,275.20",531.3
45140,"56,933","4,782",783,229,"8,399.30","1,375.30",402.2
45142,"3,696",344,53,21,"9,307.40","1,434.00",568.2
45144,"4,400",292,53,25,"6,636.40","1,204.50",568.2
45145,19,N/A,N/A,N/A,N/A,N/A,N/A
45146,"1,458",85,20,6,"5,829.90","1,371.70",411.5
45147,191,17,N/A,N/A,"8,900.50",N/A,N/A
45148,"1,467",141,20,N/A,"9,611.50","1,363.30",N/A
45150,"32,618","3,116",432,104,"9,553.00","1,324.40",318.8
45152,"11,656","1,100",181,46,"9,437.20","1,552.80",394.6
45153,"1,804",130,31,10,"7,206.20","1,718.40",554.3
45154,"8,994",737,144,45,"8,194.40","1,601.10",500.3
45155,371,12,5,N/A,"3,234.50","1,347.70",N/A
45156,73,N/A,N/A,N/A,N/A,N/A,N/A
45157,"10,315",718,115,30,"6,960.70","1,114.90",290.8
45158,373,15,N/A,N/A,"4,021.40",N/A,N/A
45159,"3,773",234,49,16,"6,202.00","1,298.70",424.1
45160,865,55,9,N/A,"6,358.40","1,040.50",N/A
45162,"2,666",241,30,12,"9,039.80","1,125.30",450.1
45164,241,10,N/A,N/A,"4,149.40",N/A,N/A
45166,69,N/A,N/A,N/A,N/A,N/A,N/A
45167,"3,700",269,83,31,"7,270.30","2,243.20",837.8
45168,"1,667",112,15,N/A,"6,718.70",899.80,N/A
45169,"4,513",409,44,14,"9,062.70",975,310.2
45171,"5,771",468,100,36,"8,109.50","1,732.80",623.8
45172,191,7,N/A,N/A,"3,664.90",N/A,N/A
45174,"2,350",156,40,13,"6,638.30","1,702.10",553.2
45176,"9,434",682,130,48,"7,229.20","1,378.00",508.8
45177,"22,385","1,582",277,118,"7,067.20","1,237.40",527.1
45202,"14,105","1,575",248,65,"11,166.30","1,758.20",460.8
45203,"2,429",153,45,25,"6,298.90","1,852.60","1,029.20"
45204,"5,773",327,76,22,"5,664.30","1,316.50",381.1
45205,"18,533","1,270",187,63,"6,852.60","1,009.00",339.9
45206,"10,825",764,130,39,"7,057.70","1,200.90",360.3
45207,"7,133",516,72,28,"7,234.00","1,009.40",392.5
45208,"18,503","1,386",225,75,"7,490.70","1,216.00",405.3
45209,"11,082","1,013",133,36,"9,140.90","1,200.10",324.9
45211,"37,201","3,194",435,140,"8,585.80","1,169.30",376.3
45212,"22,529","1,541",285,82,"6,840.10","1,265.00",364
45213,"12,574",868,185,77,"6,903.10","1,471.30",612.4
45214,"7,791",504,95,43,"6,469.00","1,219.40",551.9
45215,"30,814","2,419",363,119,"7,850.30","1,178.00",386.2
45216,"8,925",649,92,15,"7,271.70","1,030.80",168.1
45217,"7,232",536,83,28,"7,411.50","1,147.70",387.2
45218,"3,915",306,47,12,"7,816.10","1,200.50",306.5
45219,"18,029","1,405",134,43,"7,793.00",743.2,238.5
45220,"13,838",893,110,42,"6,453.20",794.9,303.5
45223,"11,982",802,140,45,"6,693.40","1,168.40",375.6
45224,"21,402","1,603",287,79,"7,490.00","1,341.00",369.1
45225,"9,418",467,64,23,"4,958.60",679.5,244.2
45226,"5,346",430,69,21,"8,043.40","1,290.70",392.8
45227,"18,391","1,447",217,69,"7,868.00","1,179.90",375.2
45229,"13,090",838,145,53,"6,401.80","1,107.70",404.9
45230,"27,778","2,092",364,98,"7,531.10","1,310.40",352.8
45231,"40,071","3,919",530,177,"9,780.10","1,322.70",441.7
45232,"6,849",391,63,21,"5,708.90",919.80,306.6
45233,"16,025","1,839",237,65,"11,475.80","1,478.90",405.6
45236,"24,486","1,913",371,153,"7,812.60","1,515.20",624.8
45237,"20,193","1,560",252,77,"7,725.40","1,248.00",381.3
45238,"45,614","4,411",600,182,"9,670.30","1,315.40",399
45239,"29,809","2,683",367,97,"9,000.60","1,231.20",325.4
45240,"27,161","2,830",405,135,"10,419.40","1,491.10",497
45241,"24,366","1,949",316,99,"7,998.90","1,296.90",406.3
45242,"22,625","1,733",312,124,"7,659.70","1,379.00",548.1
45243,"15,075","1,157",281,107,"7,675.00","1,864.00",709.8
45244,"28,602","2,420",451,85,"8,460.90","1,576.80",297.2
45245,"20,800","1,839",240,64,"8,841.30","1,153.80",307.7
45246,"14,206","1,241",166,51,"8,735.70","1,168.50",359
45247,"22,544","2,281",291,87,"10,118.00","1,290.80",385.9
45248,"25,324","2,500",333,90,"9,872.10","1,315.00",355.4
45249,"13,156",919,148,38,"6,985.40","1,125.00",288.8
45251,"22,502","2,003",302,90,"8,901.40","1,342.10",400
45252,"4,336",423,73,21,"9,755.50","1,683.60",484.3
45255,"21,767","1,672",310,74,"7,681.40","1,424.20",340
