Zip Code ,Population ,Case Count - Cumulative,Case Count - Last 30 Days ,Case Count - Last 14 Days ,Case Count Per 100K - Cumulative,Case Count Per 100K - Last 30 Days,Case Count Per 100K - Last 14 Days
43158,345,8,N/A,N/A,"2,318.80",N/A,N/A
43160,"21,854","2,066",277,75,"9,453.60","1,267.50",343.2
43162,"7,189",561,71,20,"7,803.60",987.60,278.2
43164,"2,233",157,34,8,"7,030.90","1,522.60",358.3
43201,"33,455","4,492",349,85,"13,427.00","1,043.20",254.1
43202,"21,141","1,391",171,65,"6,579.60",808.9,307.5
43203,"8,368",639,56,15,"7,636.20",669.2,179.3
43204,"42,463","3,119",357,109,"7,345.20",840.7,256.7
43205,"12,725",936,122,33,"7,355.60",958.70,259.3
43206,"22,677","1,588",176,61,"7,002.70",776.1,269
43207,"47,265","3,554",414,146,"7,519.30",875.9,308.9
43209,"28,516","1,832",233,68,"6,424.50",817.1,238.5
43210,"12,530","1,449",80,18,"11,564.20",638.5,143.7
43211,"23,453","1,350",149,55,"5,756.20",635.3,234.5
43212,"21,350","1,940",230,66,"9,086.70","1,077.30",309.1
43213,"33,551","2,745",315,80,"8,181.60",938.9,238.4
43214,"26,229","1,782",200,68,"6,794.00",762.5,259.3
43215,"14,440","2,064",209,56,"14,293.60","1,447.40",387.8
43217,"2,440",164,20,9,"6,721.30",819.7,368.9
43219,"30,526","2,742",235,68,"8,982.50",769.8,222.8
43220,"26,549","2,001",238,62,"7,537.00",896.5,233.5
43221,"32,913","2,287",327,87,"6,948.60",993.50,264.3
43222,"4,529",332,23,N/A,"7,330.50",507.8,N/A
43223,"25,963","2,372",237,76,"9,136.10",912.8,292.7
43224,"44,678","3,384",321,103,"7,574.20",718.5,230.5
43227,"24,296","1,908",190,70,"7,853.10",782,288.1
43228,"54,362","5,021",490,142,"9,236.20",901.4,261.2
43229,"53,693","5,121",473,129,"9,537.60",880.9,240.3
43230,"58,167","4,611",605,163,"7,927.20","1,040.10",280.2
43231,"21,828","2,199",212,61,"10,074.20",971.20,279.5
43232,"45,352","3,581",427,104,"7,896.00",941.50,229.3
43235,"42,673","3,265",326,89,"7,651.20",763.9,208.6
43240,"4,295",452,32,9,"10,523.90",745.1,209.5
43302,"54,023","6,722",439,161,"12,442.80",812.6,298
43310,"2,841",201,18,9,"7,075.00",633.6,316.8
43311,"18,946","1,565",215,48,"8,260.30","1,134.80",253.4
43314,"3,033",230,31,10,"7,583.30","1,022.10",329.7
43315,"7,272",400,58,12,"5,500.60",797.6,165
43316,"5,869",537,37,10,"9,149.80",630.4,170.4
43317,153,43,12,N/A,"28,104.60","7,843.10",N/A
43318,"4,537",234,26,8,"5,157.60",573.1,176.3
43319,926,65,11,N/A,"7,019.40","1,187.90",N/A
43320,"1,524",117,9,N/A,"7,677.20",590.6,N/A
43321,256,12,N/A,N/A,"4,687.50",N/A,N/A
43322,355,24,N/A,N/A,"6,760.60",N/A,N/A
43323,699,61,5,N/A,"8,726.80",715.3,N/A
43324,"2,963",191,21,8,"6,446.20",708.7,270
43326,"13,745","1,033",172,41,"7,515.50","1,251.40",298.3
43330,119,13,N/A,N/A,"10,924.40",N/A,N/A
43331,"4,507",293,28,8,"6,501.00",621.3,177.5
43332,"1,734",144,26,N/A,"8,304.50","1,499.40",N/A
43333,509,53,5,N/A,"10,412.60",982.3,N/A
43334,"6,317",521,78,20,"8,247.60","1,234.80",316.6
43337,"1,149",81,8,N/A,"7,049.60",696.3,N/A
43338,"10,164",818,91,32,"8,048.00",895.3,314.8
43340,"1,845",95,16,N/A,"5,149.10",867.20,N/A
43341,948,71,N/A,N/A,"7,489.50",N/A,N/A
43342,"2,861",264,29,6,"9,227.50","1,013.60",209.7
43343,"1,012",84,15,5,"8,300.40","1,482.20",494.1
